606,880,-90;139,121,-225;491,120,90;
612,880,-90;138,122,-225;482,120,90;
618,880,-90;137,123,-225;473,120,90;
624,880,-90;136,124,-225;464,120,90;
630,880,-90;135,125,-225;455,120,90;
636,880,-90;134,126,-225;446,120,90;
642,880,-90;133,127,-225;437,120,90;
648,880,-90;132,128,-225;428,120,90;
654,880,-90;131,129,-225;419,120,90;
660,880,-90;130,130,-225;410,120,90;
666,880,-90;129,131,-225;401,120,90;
672,880,-90;128,132,-225;392,120,90;
678,880,-90;127,133,-225;383,120,90;
684,880,-90;126,134,-225;375,120,90;
690,880,-90;125,135,-225;367,120,90;
696,880,-90;124,136,-225;359,120,90;
702,880,-90;123,137,-225;351,120,90;
708,880,-90;122,138,-225;343,120,90;
714,880,-90;121,139,-225;335,120,90;
720,880,-90;120,140,-225;327,120,90;
726,880,-90;120,142,-180;319,120,90;
732,880,-90;120,144,-180;311,120,90;
738,880,-90;120,146,-180;303,120,90;
744,880,-90;120,148,-180;295,120,90;
750,880,-90;120,150,-180;287,120,90;
756,880,-90;120,152,-180;279,120,90;
762,880,-90;120,154,-180;271,120,90;
768,880,-90;120,156,-180;263,120,90;
774,880,-90;120,158,-180;255,120,90;
780,880,-90;120,160,-180;247,120,90;
786,880,-90;120,162,-180;240,120,90;
792,880,-90;120,164,-180;233,120,90;
798,880,-90;120,166,-180;226,120,90;
804,880,-90;120,168,-180;219,120,90;
810,880,-90;120,170,-180;212,120,90;
816,880,-90;120,172,-180;205,120,90;
822,880,-90;120,174,-180;199,120,90;
828,880,-90;120,176,-180;193,120,90;
834,880,-90;120,178,-180;187,120,90;
840,880,-90;120,180,-180;181,120,90;
846,880,-90;120,182,-180;175,120,90;
852,880,-90;120,184,-180;170,120,90;
858,880,-90;120,186,-180;165,120,90;
864,876,-45;120,188,-180;160,120,90;
868,872,-45;120,190,-180;155,120,90;
872,868,-45;120,192,-180;150,120,90;
876,864,-45;120,194,-180;145,120,90;
880,860,-45;120,196,-180;140,120,90;
880,854,0;120,198,-180;137,123,-225;
880,848,0;120,200,-180;134,126,-225;
880,842,0;120,202,-180;131,129,-225;
880,836,0;120,204,-180;128,132,-225;
880,830,0;120,206,-180;125,135,-225;
880,824,0;120,208,-180;122,138,-225;
880,818,0;120,210,-180;120,144,-180;
880,812,0;120,212,-180;120,148,-180;
880,806,0;120,214,-180;120,152,-180;
880,800,0;120,216,-180;120,155,-180;
880,794,0;120,218,-180;120,158,-180;
880,788,0;120,220,-180;120,161,-180;
880,782,0;120,222,-180;120,164,-180;
880,776,0;120,224,-180;120,164,-180;
880,770,0;120,226,-180;120,167,-180;
880,764,0;120,228,-180;120,170,-180;
880,758,0;120,230,-180;120,170,-180;
880,752,0;120,232,-180;120,173,-180;
880,746,0;120,234,-180;120,176,-180;
880,740,0;120,236,-180;120,176,-180;
880,734,0;120,238,-180;120,178,-180;
880,728,0;120,240,-180;120,180,-180;
880,722,0;120,242,-180;120,182,-180;
880,716,0;120,244,-180;120,184,-180;
880,710,0;120,246,-180;120,186,-180;
880,704,0;120,248,-180;120,188,-180;
880,698,0;120,250,-180;120,190,-180;
880,692,0;120,252,-180;120,192,-180;
880,686,0;120,254,-180;120,194,-180;
880,680,0;120,256,-180;120,196,-180;
880,674,0;120,258,-180;120,198,-180;
880,668,0;120,260,-180;120,200,-180;
880,662,0;120,262,-180;120,202,-180;
880,656,0;120,264,-180;120,204,-180;
880,650,0;120,266,-180;120,206,-180;
880,644,0;120,268,-180;120,208,-180;
880,638,0;120,270,-180;120,210,-180;
880,632,0;120,272,-180;120,212,-180;
880,626,0;120,274,-180;120,214,-180;
880,620,0;120,276,-180;120,216,-180;
880,614,0;120,278,-180;120,218,-180;
880,608,0;120,280,-180;120,220,-180;
880,602,0;120,282,-180;120,222,-180;
880,596,0;120,284,-180;120,224,-180;
880,590,0;120,286,-180;120,226,-180;
880,584,0;120,288,-180;120,228,-180;
880,578,0;120,290,-180;120,230,-180;
880,572,0;120,292,-180;120,232,-180;
880,566,0;120,294,-180;120,234,-180;
880,560,0;120,296,-180;120,236,-180;
880,554,0;120,298,-180;120,238,-180;
880,548,0;120,300,-180;120,240,-180;
880,542,0;120,302,-180;120,242,-180;
880,536,0;120,304,-180;120,244,-180;
880,530,0;120,306,-180;120,246,-180;
880,524,0;120,308,-180;120,248,-180;
880,518,0;120,310,-180;120,250,-180;
880,512,0;120,312,-180;120,252,-180;
880,506,0;120,314,-180;120,254,-180;
880,500,0;120,316,-180;120,256,-180;
880,494,0;120,318,-180;120,258,-180;
880,488,0;120,320,-180;120,260,-180;
880,482,0;120,322,-180;120,262,-180;
880,476,0;120,324,-180;120,264,-180;
880,470,0;120,326,-180;120,266,-180;
880,464,0;120,328,-180;120,268,-180;
880,458,0;120,330,-180;120,270,-180;
880,452,0;120,332,-180;120,272,-180;
880,446,0;120,334,-180;120,274,-180;
880,440,0;120,336,-180;120,276,-180;
880,434,0;120,338,-180;120,278,-180;
880,428,0;120,340,-180;120,280,-180;
880,422,0;120,342,-180;120,282,-180;
880,416,0;120,344,-180;120,284,-180;
880,410,0;120,346,-180;120,286,-180;
880,404,0;120,348,-180;120,288,-180;
880,398,0;120,350,-180;120,290,-180;
880,392,0;120,352,-180;120,292,-180;
880,386,0;120,354,-180;120,294,-180;
880,380,0;120,356,-180;120,296,-180;
880,374,0;120,358,-180;120,298,-180;
880,368,0;120,360,-180;120,300,-180;
880,362,0;120,362,-180;120,302,-180;
880,356,0;120,364,-180;120,304,-180;
880,350,0;120,366,-180;120,306,-180;
880,344,0;120,368,-180;120,308,-180;
880,338,0;120,370,-180;120,310,-180;
880,332,0;120,372,-180;120,312,-180;
880,326,0;120,374,-180;120,314,-180;
880,320,0;120,376,-180;120,316,-180;
880,314,0;120,378,-180;120,318,-180;
880,308,0;120,380,-180;120,320,-180;
880,302,0;120,382,-180;120,322,-180;
880,296,0;120,384,-180;120,324,-180;
880,290,0;120,386,-180;120,326,-180;
880,284,0;120,388,-180;120,328,-180;
880,278,0;120,390,-180;120,330,-180;
880,272,0;120,392,-180;120,332,-180;
880,266,0;120,394,-180;120,334,-180;
880,260,0;120,396,-180;120,336,-180;
880,254,0;120,398,-180;120,338,-180;
880,248,0;120,400,-180;120,340,-180;
880,242,0;120,402,-180;120,342,-180;
880,236,0;120,404,-180;120,344,-180;
880,230,0;120,406,-180;120,346,-180;
880,224,0;120,408,-180;120,348,-180;
880,218,0;120,410,-180;120,350,-180;
880,212,0;120,412,-180;120,352,-180;
880,206,0;120,414,-180;120,354,-180;
880,200,0;120,416,-180;120,356,-180;
880,194,0;120,418,-180;120,358,-180;
880,188,0;120,420,-180;120,360,-180;
880,182,0;120,422,-180;120,362,-180;
880,176,0;120,424,-180;120,364,-180;
880,170,0;120,426,-180;120,366,-180;
880,164,0;120,428,-180;120,368,-180;
880,158,0;120,430,-180;120,370,-180;
880,152,0;120,432,-180;120,372,-180;
880,146,0;120,434,-180;120,374,-180;
880,140,0;120,436,-180;120,376,-180;
876,136,45;120,438,-180;120,378,-180;
872,132,45;120,440,-180;120,380,-180;
868,128,45;120,442,-180;120,382,-180;
864,124,45;120,444,-180;120,384,-180;
860,120,45;120,446,-180;120,386,-180;
854,120,90;120,448,-180;120,388,-180;
848,120,90;120,450,-180;120,390,-180;
842,120,90;120,452,-180;120,392,-180;
836,120,90;120,454,-180;120,394,-180;
830,120,90;120,456,-180;120,396,-180;
824,120,90;120,458,-180;120,398,-180;
818,120,90;120,460,-180;120,400,-180;
812,120,90;120,462,-180;120,402,-180;
806,120,90;120,464,-180;120,404,-180;
800,120,90;120,466,-180;120,406,-180;
794,120,90;120,468,-180;120,408,-180;
788,120,90;120,470,-180;120,410,-180;
782,120,90;120,472,-180;120,412,-180;
776,120,90;120,474,-180;120,414,-180;
770,120,90;120,476,-180;120,416,-180;
764,120,90;120,478,-180;120,418,-180;
758,120,90;120,480,-180;120,420,-180;
752,120,90;120,482,-180;120,422,-180;
746,120,90;120,484,-180;120,424,-180;
740,120,90;120,486,-180;120,426,-180;
734,120,90;120,488,-180;120,428,-180;
728,120,90;120,490,-180;120,430,-180;
722,120,90;120,492,-180;120,432,-180;
716,120,90;120,494,-180;120,434,-180;
710,120,90;120,496,-180;120,436,-180;
704,120,90;120,498,-180;120,438,-180;
698,120,90;120,500,-180;120,440,-180;
692,120,90;120,502,-180;120,442,-180;
686,120,90;120,504,-180;120,444,-180;
680,120,90;120,506,-180;120,446,-180;
674,120,90;120,508,-180;120,448,-180;
668,120,90;120,510,-180;120,450,-180;
662,120,90;120,512,-180;120,452,-180;
656,120,90;120,514,-180;120,454,-180;
650,120,90;120,516,-180;120,456,-180;
644,120,90;120,518,-180;120,458,-180;
638,120,90;120,520,-180;120,460,-180;
632,120,90;120,522,-180;120,462,-180;
626,120,90;120,524,-180;120,464,-180;
620,120,90;120,526,-180;120,466,-180;
614,120,90;120,528,-180;120,468,-180;
608,120,90;120,530,-180;120,470,-180;
602,120,90;120,532,-180;120,472,-180;
596,120,90;120,534,-180;120,474,-180;
590,120,90;120,536,-180;120,476,-180;
584,120,90;120,538,-180;120,478,-180;
578,120,90;120,540,-180;120,480,-180;
