T;a;b;delta;s0;travelTimes
0.5;0.73;1.67;4;1;12.8601,14.4801,10.8401,10.9602,7.20016,7.66017,27.8204,24.2605,20.8205,17.1805,3.0701e-41
0.725;0.73;1.67;4;1;11.2801,7.82008,17.8202,14.2602,9.12048
0.95;0.73;1.67;4;1;3.46,18.0203,14.4603,10.9403,7.34034,3.64035,3.0701e-41
1.175;0.73;1.67;4;1;11.2801,7.80008,4.08009,2.98015,0
1.4;0.73;1.67;4;1;3.88,4.56001,13.5003,9.94031,3.06996e-41
1.625;0.73;1.67;4;1;11.3401,7.82008,4.22009,4.56019,3.06996e-41
1.85;0.73;1.67;4;1;3.88,2.97999,13.5003,10.0403,6.46032,3.20034,1
2.075;0.73;1.67;4;1;11.3401,7.82008,0
2.3;0.73;1.67;4;1;22.0203,18.5003,15.2403,14.2804,0
2.525;0.73;1.67;4;1;11.5001,7.98008,5.58012,3.04015,0
2.975;0.73;1.67;4;1;11.2801,13.6802,10.2202,4.48416e-44
3.2;0.73;1.67;4;1;22.0203,18.5003,15.0603,11.6804,8.28036,7.41287e-43
3.425;0.73;1.67;4;1;11.3401,8.10009,6.94015,5.58021,0
3.65;0.73;1.67;4;1;3.88,17.5003,14.1403,10.8203,7.50035,5.58039,0
3.875;0.73;1.67;4;1;14.2801,10.9802,7.84017,4.18018,0
4.1;0.73;1.67;4;1;3.88,4.56001,14.0203,10.5403,7.16034,5.00038,3.06996e-41
4.325;0.73;1.67;4;1;11.2801,8.08009,9.2602,4.48416e-44
4.55;0.73;1.67;4;1;5.58,5.92004,14.0203,10.5603,0
4.775;0.73;1.67;4;1;11.2801,9.26011,0
1.6;0.1;1.67;4;1;2.98,4.5,13.2803,9.78031,6.16032,3.88036,0
1.6;0.2;1.67;4;1;11.2801,14.2802,10.7402,7.24025,0
1.6;0.3;1.67;4;1;6.93999,18.0403,14.4803,10.9403,7.34034,3.58035,3.06996e-41
1.6;0.4;1.67;4;1;11.3401,7.82008,4.12009,2.98015,0
1.6;0.5;1.67;4;1;3.46,2.97999,13.2803,9.80031,6.22032,2.70451e-43
1.6;0.6;1.67;4;1;13.6801,0
1.6;0.7;1.67;4;1;6.93999,17.3003,14.1203,10.8003,0
1.6;0.8;1.67;4;1;11.2801,7.80008,4.04009,4.48416e-44
1.6;0.9;1.67;4;1;5.58,2.97999,13.2803,9.90031,0
1.6;1;1.67;4;1;11.2801,7.82008,0
1.6;1.1;1.67;4;1;2.98,18.0203,14.4403,10.9403,7.48035,3.74035,0
1.6;1.2;1.67;4;1;11.2801,7.82008,4.22009,2.98015,0
1.6;1.3;1.67;4;1;2.98,3.45999,13.2803,9.82031,6.26032,2.70451e-43
1.6;1.4;1.67;4;1;11.2801,9.26011,9.2602,5.60021,0
1.6;1.5;1.67;4;1;5.58,18.0203,14.4403,11.0003,9.26039,2.70451e-43
1.6;1.6;1.67;4;1;11.2801,7.86008,5.58012,4.48416e-44
1.6;1.7;1.67;4;1;2.98,3.87999,13.2803,10.0203,6.68033,6.94043,0
1.6;1.8;1.67;4;1;11.3401,7.98008,4.26009,3.04015,0
1.6;1.9;1.67;4;1;9.02002,18.0203,14.6403,11.0803,7.60035,3.96036,3.06996e-41
1.6;2;1.67;4;1;11.2801,7.88008,6.94015,4.48416e-44
1.6;0.73;0.1;4;1;22.0203,19.2203,15.7004,13.6804,10.0804,6.62042,0
1.6;0.73;0.2;4;1;11.2801,8.04009,5.60012,4.48416e-44
1.6;0.73;0.3;4;1;6.93999,3.97999,13.2803,10.1003,6.82033,2.29827e-41
1.6;0.73;0.4;4;1;11.2801,8.10009,10.5802,7.02024,0
1.6;0.73;0.5;4;1;3.88,3.45999,13.5003,10.1603,6.94033,2.30051e-41
1.6;0.73;0.6;4;1;13.6801,10.0801,6.58014,4.48416e-44
1.6;0.73;0.7;4;1;3.46,17.3003,14.0003,10.6403,7.88036,1.15033e-41
1.6;0.73;0.8;4;1;13.6801,10.1201,6.64015,4.48416e-44
1.6;0.73;0.9;4;1;9.02002,17.5003,14.6203,11.0803,7.56035,9.26048,3.06996e-41
1.6;0.73;1;4;1;11.2801,0
1.6;0.73;1.1;4;1;4.56,17.3003,13.9403,10.4203,6.84033,6.94043,0
1.6;0.73;1.2;4;1;11.2801,7.82008,6.94015,3.22016,0
1.6;0.73;1.3;4;1;4.56,3.45999,13.2803,9.98031,0
1.6;0.73;1.4;4;1;11.2801,7.80008,6.94015,3.60017,0
1.6;0.73;1.5;4;1;6.93999,3.39999,13.2803,9.82031,6.22032,1.15033e-41
1.6;0.73;1.6;4;1;11.5201,7.94008,9.2602,4.48416e-44
1.6;0.73;1.7;4;1;9.02002,5.34002,13.2803,9.80031,6.22032,3.46035,3.06996e-41
1.6;0.73;1.8;4;1;11.2801,7.80008,10.4802,6.90024,0
1.6;0.73;1.9;4;1;4.5,17.5203,13.8803,10.2603,6.64033,2.70451e-43
1.6;0.73;2;4;1;11.2801,9.26011,0
1.6;0.73;1.67;1;1;6.93999,3.87999,13.2803,9.80031,6.22032,4.56037,0
1.6;0.73;1.67;2;1;11.3401,13.6802,10.1002,4.48416e-44
1.6;0.73;1.67;3;1;3.52,17.5203,14.2603,13.6804,10.1204,6.60042,3.06996e-41
1.6;0.73;1.67;4;1;11.2801,7.80008,5.58012,4.48416e-44
1.6;0.73;1.67;5;1;9.02002,17.1403,13.5803,9.98031,0
1.6;0.73;1.67;6;1;13.6801,13.6802,10.1002,6.94024,0
1.6;0.73;1.67;7;1;9.26002,5.66003,13.2403,9.80031,6.22032,5.58039,3.06996e-41
1.6;0.73;1.67;8;1;11.1201,0
1.6;0.73;1.67;9;1;3.88,2.97999,10.9603,10.9803,7.48035,3.80035,0
1.6;0.73;1.67;10;1;11.1201,7.58008,0
1.6;0.73;1.67;11;1;3.46,17.1403,13.5803,9.98031,6.36032,6.86636e-44
1.6;0.73;1.67;12;1;11.1201,7.62008,6.94015,4.48416e-44
1.6;0.73;1.67;13;1;3.46,3.87999,13.1203,9.5803,0
1.6;0.73;1.67;14;1;6.93999,3.23999,3.88008,4.56019,3.88026,7.41287e-43
1.6;0.73;1.67;15;1;6.93999,3.51999,3.46007,5.58021,3.46025,5.76354e-42
1.6;0.73;1.67;16;1;3.04,3.87999,3.46007,9.2603,5.6003,2.70451e-43
1.6;0.73;1.67;17;1;6.93999,6.94006,6.94015,4.56019,0
